host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
662317,Cassey,2011,6/4,4763288,Watergraafsmeer,Amsterdam,Noord-Holland,1098 KV,Netherlands,52.35064945,4.935010179,Apartment,Entire home/apt,9,1,2,2,Real Bed,250,4,25,1,a few days or more,0.2,1,100,10,10,10,10,10,10
665491,Karlijn,2011,6/5,986245,Bos en Lommer,Amsterdam,North Holland,1056,Netherlands,52.37518763,4.852954401,Apartment,Entire home/apt,4,1,2,2,Real Bed,119,2,10,3,N/A,N/A,13,98,10,10,10,10,9,10
666321,Daniel,2011,6/5,136029,De Baarsjes - Oud-West,Amsterdam,North Holland,1057,Netherlands,52.36705041,4.853808959,Apartment,Entire home/apt,3,,2,1,Real Bed,95,1,0,2,within an hour,1,26,97,10,10,10,10,8,9
669137,Karlijn,2011,6/6,3492282,De Baarsjes - Oud-West,Amsterdam,North Holland,1054 BK,Netherlands,52.36665089,4.873652035,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,1,0,3,within an hour,1,8,100,10,10,10,10,10,10
669178,Peter,2011,6/6,2734238,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073,Netherlands,52.35597281,4.896741205,Apartment,Entire home/apt,6,1.5,3,6,Real Bed,189,5,30,2,within an hour,1,49,93,10,10,9,9,10,9
669178,Peter,2011,6/6,2100567,Centrum-West,Amsterdam,North Holland,1015 MZ,Netherlands,52.37862852,4.88681015,Apartment,Entire home/apt,6,1,2,6,Real Bed,249,4,30,2,within an hour,1,27,93,9,9,9,9,10,9
669178,Peter,2011,6/6,1757734,Centrum-West,Amsterdam,North Holland,1015 MZ,Netherlands,52.37868839,4.886745696,Apartment,Entire home/apt,6,1,2,6,Real Bed,249,4,30,4,within an hour,1,29,91,10,9,10,9,10,9
669178,Peter,2011,6/6,4675584,Centrum-West,Amsterdam,Noord-Holland,1016 XB,Netherlands,52.3667936,4.881310428,Apartment,Entire home/apt,4,2,3,4,Real Bed,189,1,0,2,within an hour,1,10,80,9,9,8,8,10,8
669178,Peter,2011,6/6,2422707,Centrum-West,Amsterdam,North Holland,1015 AL,Netherlands,52.37855002,4.890909753,Apartment,Entire home/apt,4,2,2,4,Real Bed,224,1,0,2,within an hour,1,28,89,9,9,9,9,10,9
669178,Peter,2011,6/6,2429446,Centrum-West,Amsterdam,North Holland,1015 AL,Netherlands,52.37936214,4.892340608,Apartment,Entire home/apt,4,1,2,4,Real Bed,224,1,0,4,within an hour,1,37,90,9,9,9,9,10,8
669178,Peter,2011,6/6,954958,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36274189,4.888413568,Apartment,Entire home/apt,4,1,2,4,Real Bed,189,4,0,4,within an hour,1,17,84,8,9,9,9,10,8
669178,Peter,2011,6/6,5734804,De Pijp - Rivierenbuurt,Amsterdam,Noord-Holland,1078 CX,Netherlands,52.34831772,4.900713983,Apartment,Entire home/apt,4,1,2,2,Real Bed,174,1,0,3,within an hour,1,0,,,,,,,
669178,Peter,2011,6/6,2422414,Centrum-West,Amsterdam,North Holland,1015 AL,Netherlands,52.37905309,4.891227484,Apartment,Entire home/apt,4,2,2,4,Real Bed,224,4,0,4,within an hour,1,25,93,9,10,9,9,10,9
669178,Peter,2011,6/6,431656,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36297546,4.888215901,Apartment,Entire home/apt,4,1,2,4,Real Bed,189,5,0,4,within an hour,1,19,80,9,8,9,9,10,9
669178,Peter,2011,6/6,2429144,Centrum-West,Amsterdam,North Holland,1015 AL,Netherlands,52.37893868,4.890831781,Apartment,Entire home/apt,4,2,2,4,Real Bed,224,1,0,4,within an hour,1,23,83,9,9,8,8,10,8
669178,Peter,2011,6/6,4675092,Centrum-West,Amsterdam,Noord-Holland,1016 XB,Netherlands,52.36696487,4.882959429,Apartment,Entire home/apt,4,2,2,2,Real Bed,189,1,0,2,within an hour,1,7,94,9,10,10,9,10,9
669178,Peter,2011,6/6,5379245,Centrum-Oost,Amsterdam,Noord-Holland,1017,Netherlands,52.36099591,4.891183882,Apartment,Entire home/apt,4,1,1,2,Real Bed,119,1,0,2,within an hour,1,0,,,,,,,
669178,Peter,2011,6/6,4201710,Centrum-Oost,Amsterdam,North Holland,1017 TV,Netherlands,52.3617574,4.892681581,Apartment,Entire home/apt,4,1,1,2,Real Bed,119,1,0,2,within an hour,1,18,87,10,10,10,10,10,9
669178,Peter,2011,6/6,5779982,De Pijp - Rivierenbuurt,Amsterdam,Noord-Holland,1079,Netherlands,52.3444342,4.906566104,Apartment,Entire home/apt,2,1,1,1,Real Bed,116,1,0,2,within an hour,1,0,,,,,,,
669178,Peter,2011,6/6,5734977,Zuid,Amsterdam,Noord-Holland,,Netherlands,52.35899013,4.880204107,Apartment,Entire home/apt,2,1,1,1,Real Bed,116,1,0,3,within an hour,1,0,,,,,,,
670266,Ton & Fede,2011,6/6,137026,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074,Netherlands,52.35360906,4.905621032,House,Entire home/apt,6,2.5,3,3,Real Bed,230,4,20,2,within a day,0.7,28,98,9,9,10,10,10,9
671079,Anna,2011,6/6,5286329,Centrum-Oost,Amsterdam,Noord-Holland,1012,Netherlands,52.37253628,4.905454712,Apartment,Shared room,1,0.5,1,1,Real Bed,19,1,9,1,within a day,0.5,1,80,10,2,10,6,6,8
673698,Adis Sophie & Panos,2011,6/7,1069554,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1091,Netherlands,52.34772933,4.910528547,Apartment,Entire home/apt,5,1,2,2,Real Bed,150,2,15,4,within a day,0.8,11,96,10,10,10,10,9,10
673738,Ilan,2011,6/7,137871,Zuid,Amsterdam,North Holland,1077,Netherlands,52.3504092,4.870528835,Apartment,Entire home/apt,2,1,1,2,Real Bed,110,2,10,2,within an hour,1,6,90,8,8,10,9,9,10
673879,Paulien,2011,6/7,137901,Zuid,Amsterdam,North Holland,1059,Netherlands,52.34751154,4.849632933,Boat,Private room,2,1,1,1,Real Bed,49,1,10,3,a few days or more,0.33,17,88,9,8,10,9,9,9
679534,Iwana,2011,6/8,5682317,Oud-Noord,Amsterdam,Noord-Holland,1025 LS,Netherlands,52.39105694,4.931964311,House,Entire home/apt,4,2,3,3,Real Bed,225,1,0,7,N/A,N/A,0,,,,,,,
679940,Lex,2011,6/8,139419,Centrum-Oost,Amsterdam,North Holland,1011,Netherlands,52.37034145,4.89846707,Apartment,Entire home/apt,4,1,1,2,Real Bed,139,2,35,3,within an hour,1,19,97,10,9,9,10,10,10
680070,Hubert,2011,6/8,139445,Centrum-West,Amsterdam,North Holland,1016 LG,Netherlands,52.37217273,4.881499692,House,Entire home/apt,4,1,1,3,Real Bed,220,2,50,3,within an hour,1,91,99,10,9,10,10,10,9
682801,Cesar & Floortje,2011,6/9,2469968,Westerpark,Amsterdam,North Holland,1015 VC,Netherlands,52.38328944,4.880648832,House,Entire home/apt,4,2,2,4,Real Bed,375,4,75,2,within a few hours,1,12,100,10,10,10,10,10,10
685545,André,2011,6/10,140781,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.36834001,4.882124831,Apartment,Entire home/apt,2,1,1,1,Real Bed,169,1,0,5,N/A,N/A,2,86,9,9,9,9,9,7
692831,Angela,2011,6/12,1495928,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,,Netherlands,52.36133313,4.937118019,Apartment,Entire home/apt,4,1,2,2,Real Bed,100,1,0,2,within a day,0.89,3,93,10,9,10,10,9,9
692905,Erasmo,2011,6/12,499390,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36112307,4.86126735,Apartment,Entire home/apt,4,1,2,2,Real Bed,60,2,75,2,within a few hours,0.95,63,91,10,9,10,10,10,9
693375,Ruud,2011,6/12,5819022,Oostelijk Havengebied - Indische Buurt,Amsterdam,Noord-Holland,1094,Netherlands,52.36320508,4.934309466,Apartment,Private room,2,1,1,1,Pull-out Sofa,120,1,0,1,within a day,0.83,0,,,,,,,
693375,Ruud,2011,6/12,4851752,Oostelijk Havengebied - Indische Buurt,Amsterdam,Noord-Holland,1094 HA,Netherlands,52.36283055,4.933660944,Apartment,Entire home/apt,2,1,1,1,Real Bed,50,1,0,2,within a day,0.82,2,100,8,9,9,10,10,10
704269,Inge,2011,6/15,145449,De Pijp - Rivierenbuurt,Amsterdam,NH,1078,Netherlands,52.34655082,4.901353134,Apartment,Entire home/apt,4,1,2,2,Real Bed,140,4,50,3,within a few hours,1,12,96,10,10,10,10,10,10
704550,Eva,2011,6/15,145534,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.3636495,4.877039934,Bed & Breakfast,Private room,2,1,1,1,Real Bed,119,1,0,3,within a few hours,1,0,,,,,,,
705264,Fata,2011,6/15,3559457,Centrum-West,Amsterdam,NH,1013,Netherlands,52.38040816,4.892015374,Apartment,Entire home/apt,4,1,2,4,Real Bed,145,1,0,3,within an hour,1,6,88,9,9,10,10,10,9
705264,Fata,2011,6/15,3557652,Centrum-West,Amsterdam,North Holland,1013 ET,Netherlands,52.3791324,4.891782687,Apartment,Entire home/apt,4,1,2,4,Real Bed,145,1,0,3,within an hour,1,3,100,9,9,10,10,10,9
708138,Elise,2011,6/16,826295,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36753361,4.868249481,Apartment,Entire home/apt,4,1,1,2,Real Bed,140,2,15,2,within a few hours,1,18,94,10,10,10,10,9,9
711884,Kim,2011,6/17,789630,Bos en Lommer,Amsterdam,North Holland,1056,Netherlands,52.37887387,4.845444335,Apartment,Entire home/apt,4,1,1,2,Real Bed,130,2,30,2,within an hour,1,11,96,9,9,10,10,9,8
715029,Rita,2011,6/18,950937,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074,Netherlands,52.35850536,4.90424553,Apartment,Private room,2,1,1,1,Real Bed,100,1,0,3,within an hour,1,0,,,,,,,
715168,Dorine,2011,6/18,148029,Centrum-Oost,Amsterdam,North Holland,1018 ES,Netherlands,52.3622422,4.903264863,Apartment,Private room,2,1,1,1,Real Bed,195,2,50,1,N/A,N/A,1,100,10,10,10,10,10,10
715279,Ivo And Katia,2011,6/18,3747151,Westerpark,Amsterdam,North Holland,1013 ZT,Netherlands,52.39324799,4.876194979,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,1,0,2,within a day,1,5,92,10,9,10,10,9,9
721345,King,2011,6/20,4556180,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36129092,4.865278724,Apartment,Entire home/apt,4,2.5,2,5,Real Bed,250,4,40,1,within a few hours,1,0,,,,,,,
666321,Daniel,2011,6/5,136029,De Baarsjes - Oud-West,Amsterdam,North Holland,1057,Netherlands,52.36705041,4.853808959,Apartment,Entire home/apt,3,,2,1,Real Bed,95,1,0,2,within an hour,1,26,97,10,10,10,10,8,9
721345,King,2011,6/20,4281373,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1017,Netherlands,52.35700356,4.898888024,Boat,Entire home/apt,4,1,2,4,Real Bed,160,4,50,1,within a few hours,1,18,93,9,9,9,9,10,8
722128,Karel,2011,6/20,149747,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.37451694,4.887385596,Apartment,Entire home/apt,2,1,2,2,Real Bed,170,1,0,5,within a few hours,1,23,97,10,10,10,10,10,10
725727,Colin Jeffrey,2011,6/21,150885,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36841923,4.867037613,Apartment,Entire home/apt,4,1,1,2,Real Bed,129,2,25,2,within an hour,1,5,100,10,9,9,10,10,10
725943,Han,2011,6/21,150689,Geuzenveld - Slotermeer,Amsterdam,North Holland,1064,Netherlands,52.3744245,4.808575171,House,Entire home/apt,2,1,2,2,Real Bed,60,1,0,2,within a few hours,1,50,88,9,7,10,9,8,9
728160,Romy,2011,6/21,356929,Watergraafsmeer,Watergraafsmeer,North Holland,1098,Netherlands,52.35629412,4.933540685,Apartment,Entire home/apt,4,1,5,5,Real Bed,175,4,25,2,within a few hours,1,29,98,9,10,10,10,9,10
728514,Erik,2011,6/21,151309,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.36924268,4.885670353,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,3,within a few hours,0.9,44,95,10,9,10,9,10,9
732783,Max Osole,2011,6/22,2800475,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 AA,Netherlands,52.3711132,4.874654723,Apartment,Entire home/apt,4,1,2,2,Real Bed,99,3,0,1,within an hour,1,60,91,9,9,9,10,9,9
732783,Max Osole,2011,6/22,158466,Bos en Lommer,Amsterdam,North Holland,1055,Netherlands,52.37765324,4.854959061,Apartment,Entire home/apt,2,1,0,1,Real Bed,49,2,0,1,within an hour,1,202,84,8,8,9,9,8,8
732783,Max Osole,2011,6/22,152280,Bos en Lommer,Amsterdam,North Holland,1055,Netherlands,52.37961372,4.854432293,Apartment,Entire home/apt,2,1,0,1,Real Bed,49,2,24,1,within an hour,1,257,88,9,9,9,9,8,9
732852,Anita,2011,6/22,3716585,Centrum-Oost,Amsterdam,North Holland,1018 DB,Netherlands,52.3666279,4.909731912,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,1,0,3,within an hour,1,7,100,10,10,10,10,9,9
736092,Martijn,2011,6/23,153087,Centrum-Oost,Amsterdam,North Holland,1012,Netherlands,52.37347874,4.901838795,Apartment,Entire home/apt,2,1,1,1,Real Bed,110,2,50,3,within a few hours,1,49,98,10,10,10,10,10,9
739084,Onno,2011,6/24,161149,Bos en Lommer,Amsterdam,North Holland,1056,Netherlands,52.37367508,4.84881873,Apartment,Entire home/apt,3,2,2,2,Real Bed,95,2,20,5,within an hour,1,23,98,10,9,10,10,9,10
746739,Dominique,2011,6/26,540194,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.38049072,4.88743186,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,1,0,5,within a day,1,7,100,9,9,10,9,10,9
749611,Lioba,2011,6/27,619662,Westerpark,Amsterdam,North Holland,1051,Netherlands,52.38346783,4.867675888,Apartment,Entire home/apt,2,1,1,1,Real Bed,59,2,20,1,within a day,1,74,97,10,9,10,10,9,9
750439,Ruben  And Suzanne,2011,6/27,308196,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,Netherlands,52.34806778,4.90117298,Apartment,Entire home/apt,2,,1,1,Real Bed,85,1,0,3,within a day,1,9,89,10,9,9,10,9,8
753530,Averechts,2011,6/28,156815,Westerpark,Amsterdam,North Holland,1013 AX,Netherlands,52.39294002,4.880783525,Boat,Entire home/apt,16,4,10,1,Real Bed,595,1,0,1,within a few hours,1,1,100,10,10,10,10,10,10
756526,Hester,2011,6/29,157488,Zuid,Amsterdam,North Holland,1075,Netherlands,52.35178275,4.853057361,Apartment,Entire home/apt,4,1,1,1,Real Bed,90,2,5,2,N/A,N/A,16,96,9,9,10,10,10,9
757998,Ronald,2011,6/29,5478946,Bos en Lommer,Amsterdam,Noord-Holland,1056 GA,Netherlands,52.37502107,4.858304035,Apartment,Entire home/apt,4,1,3,3,Real Bed,500,1,0,5,within a few hours,1,0,,,,,,,
758989,Carlos,2011,6/29,158207,Bos en Lommer,Amsterdam,North Holland,1056,Netherlands,52.37601462,4.860766501,Apartment,Entire home/apt,4,0,2,2,Real Bed,145,4,45,2,within a day,0.9,62,96,10,9,10,10,9,9
766408,Stacey,2011,7/1,1303534,Centrum-West,Amsterdam,North Holland,1052,Netherlands,52.37183992,4.874845869,Apartment,Entire home/apt,4,1,2,2,Real Bed,135,1,0,3,N/A,N/A,1,86,8,6,10,10,10,8
768308,Kim,2011,7/2,4118100,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073 BJ,Netherlands,52.3547489,4.893596673,Apartment,Entire home/apt,3,1,2,1,Real Bed,119,2,10,3,within a day,0.95,4,100,10,10,10,10,10,10
775075,Fleur,2011,7/4,3016543,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 EE,Netherlands,52.34627477,4.901831494,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,2,100,1,within an hour,1,3,93,9,9,9,9,9,9
775898,Karina,2011,7/4,162336,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,Netherlands,52.34659835,4.904908088,Apartment,Entire home/apt,6,1,2,4,Real Bed,119,2,49,3,within a few hours,1,27,95,9,9,10,10,9,9
776296,Nicole,2011,7/4,162467,De Baarsjes - Oud-West,Amsterdam,North Holland,1058,Netherlands,52.36367589,4.855056297,Apartment,Entire home/apt,2,1,1,2,Real Bed,115,1,0,4,within a few hours,1,15,94,9,9,10,10,9,9
776997,Claire,2011,7/4,162613,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.35834491,4.859343671,Apartment,Entire home/apt,4,1,1,2,Real Bed,90,2,55,3,within a few hours,0.83,13,94,10,9,10,10,9,9
788073,Eef,2011,7/7,260950,Oud-Oost,Amsterdam,North Holland,1091 KV,Netherlands,52.35378631,4.915087021,Apartment,Entire home/apt,4,1,2,3,Real Bed,60,2,25,2,within a few hours,0.82,1,,,,,,,
788073,Eef,2011,7/7,3196743,Centrum-Oost,Amsterdam,Noord-Holland,1074XJ,Netherlands,52.36469165,4.893457271,Apartment,Entire home/apt,4,1,1,4,Real Bed,85,2,25,2,within a few hours,0.82,1,100,10,10,10,10,10,10
788073,Eef,2011,7/7,5843118,Centrum-Oost,Amsterdam,Noord-Holland,1017 HD,Netherlands,52.36612036,4.892661248,House,Private room,4,1,1,2,Real Bed,90,2,25,1,within a few hours,0.82,0,,,,,,,
790547,Bart,2011,7/7,165833,De Baarsjes - Oud-West,Amsterdam,North Holland,1056,Netherlands,52.37336013,4.85753732,Apartment,Shared room,4,1,1,3,Real Bed,64,1,65,1,within an hour,1,1,100,10,10,10,10,10,10
791483,Mendy,2011,7/7,736426,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1095 AW,Netherlands,52.36494978,4.940301627,Apartment,Entire home/apt,3,1,1,2,Real Bed,127,1,0,3,within an hour,1,48,94,9,9,10,10,9,9
792839,Eva,2011,7/8,4478831,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079,Netherlands,52.34111722,4.894914677,Apartment,Entire home/apt,2,1,1,2,Real Bed,70,1,0,2,N/A,N/A,3,87,10,10,10,9,9,9
793133,C.,2011,7/8,166395,Centrum-West,Jordaan,North Holland,1016,Netherlands,52.37157589,4.878481137,Apartment,Entire home/apt,2,1,1,1,Real Bed,104,1,0,2,within a few hours,1,26,90,9,9,9,9,9,9
796384,Jennifer,2011,7/9,4118247,Westerpark,Amsterdam,North Holland,1052,Netherlands,52.3734813,4.87178846,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,1,0,3,within a day,0.9,9,98,10,10,10,10,10,9
797802,Denise,2011,7/9,847359,Centrum-Oost,Amsterdam,North Holland,1018 KC,Netherlands,52.36703599,4.920371333,Apartment,Entire home/apt,4,1,2,2,Real Bed,125,2,40,3,within a day,0.67,5,95,9,9,10,10,10,9
798559,Hannes,2011,7/9,4976444,De Pijp - Rivierenbuurt,Amsterdam,Noord-Holland,1073,Netherlands,52.352161,4.897097261,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,89,1,0,2,within a day,0.83,2,100,10,10,10,10,10,9
805655,Boris,2011,7/11,2457531,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 BM,Netherlands,52.37191045,4.870005529,House,Entire home/apt,4,1,3,6,Real Bed,100,3,50,1,within a day,0.89,8,93,9,9,10,9,8,9
805655,Boris,2011,7/11,646038,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.37015246,4.872950219,Bed & Breakfast,Private room,2,1,1,2,Real Bed,100,1,15,1,within a day,0.89,5,100,10,10,10,10,10,9
805655,Boris,2011,7/11,3441901,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 BM,Netherlands,52.37058494,4.866884611,House,Private room,2,1,1,2,Real Bed,120,1,30,1,within a day,0.89,3,100,9,10,9,10,9,10
806976,Nick,2011,7/11,169356,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.38024914,4.883748127,Apartment,Entire home/apt,2,1,1,1,Real Bed,124,1,25,4,within a few hours,0.8,7,100,10,10,10,10,10,10
806989,Blair,2011,7/11,1377327,De Baarsjes - Oud-West,Amsterdam,North Holland,1052 RW,Netherlands,52.36965938,4.86828266,Apartment,Private room,1,1,1,1,Real Bed,54,1,0,2,within a few hours,1,2,100,10,6,10,10,10,10
808128,Martin,2011,7/12,2076460,De Baarsjes - Oud-West,Amsterdam,North Holland,1054 WZ,Netherlands,52.36340815,4.866153785,Apartment,Entire home/apt,4,1,2,2,Real Bed,160,2,20,4,within a few hours,0.9,1,80,10,10,10,8,10,8
809767,Ranu,2011,7/12,169920,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1094,Netherlands,52.36801999,4.938885598,Apartment,Entire home/apt,2,1,1,1,Real Bed,77,1,0,1,within a day,0.79,35,97,9,10,9,10,9,9
811403,Francine,2011,7/12,170223,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.36991235,4.88265452,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,125,1,0,5,within a day,1,8,98,10,10,10,10,10,10
815989,Kamiel,2011,7/13,171054,De Baarsjes - Oud-West,Amsterdam,North Holland,1052,Netherlands,52.37076187,4.867421751,Apartment,Entire home/apt,3,,2,3,Real Bed,85,3,20,4,within a day,0.5,54,95,10,10,10,10,10,9
818479,Keja,2011,7/14,1558757,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1094 HV,Netherlands,52.36239302,4.937975088,Apartment,Entire home/apt,3,1,1,1,Real Bed,74,1,7,3,within an hour,0.9,7,77,8,8,9,10,8,8
822722,Valery,2011,7/15,1103831,De Baarsjes - Oud-West,Amsterdam,North Holland,1056,Netherlands,52.37243554,4.859669366,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,25,2,within a day,1,2,80,10,8,10,9,9,8
825869,Volker,2011,7/16,448831,Centrum-Oost,Amsterdam,North Holland,1017WE,Netherlands,52.36035843,4.889742406,Apartment,Entire home/apt,3,1,1,1,Real Bed,95,2,20,2,within a few hours,0.89,119,96,10,10,10,10,10,9
827351,Simon & Jolanda,2011,7/16,5208488,Zuid,Amsterdam,Noord-Holland,1071,Netherlands,52.35862467,4.874844573,Apartment,Entire home/apt,6,2,3,6,Real Bed,350,1,0,5,within a few hours,1,0,,,,,,,
827351,Simon & Jolanda,2011,7/16,5208390,Zuid,Amsterdam,Noord-Holland,1071 ER,Netherlands,52.35876104,4.875093437,Apartment,Entire home/apt,6,1,3,6,Real Bed,395,1,0,5,within a few hours,1,0,,,,,,,
827351,Simon & Jolanda,2011,7/16,1048370,Centrum-West,Amsterdam,North Holland,1015 DT,Netherlands,52.376901,4.884089079,Boat,Entire home/apt,4,1,2,2,Real Bed,325,4,30,4,within a few hours,1,6,97,10,9,10,10,10,9
827351,Simon & Jolanda,2011,7/16,1265431,Centrum-West,Amsterdam,North Holland,1015,Netherlands,52.37909046,4.885037293,House,Entire home/apt,4,1,2,2,Real Bed,199,2,30,4,within a few hours,1,3,100,9,8,10,10,10,9
827351,Simon & Jolanda,2011,7/16,4019264,Centrum-West,Amsterdam,North Holland,1015GC,Netherlands,52.3800605,4.889080852,Boat,Entire home/apt,4,1,2,2,Real Bed,375,1,0,3,within a few hours,1,4,100,10,9,10,10,10,10
827351,Simon & Jolanda,2011,7/16,762690,Centrum-West,Amsterdam,North Holland,1015 BA,Netherlands,52.37932295,4.891221777,Boat,Entire home/apt,4,1,1,1,Real Bed,179,2,30,3,within a few hours,1,5,96,10,10,10,10,10,9
827351,Simon & Jolanda,2011,7/16,2598783,Centrum-West,Amsterdam,NH,1016 HW,Netherlands,52.3696225,4.883170174,House,Entire home/apt,4,1,1,2,Real Bed,149,2,30,3,within a few hours,1,11,96,10,10,10,10,10,9
827351,Simon & Jolanda,2011,7/16,3025135,Centrum-West,Amsterdam,North Holland,1013 HA,Netherlands,52.3792366,4.889487901,House,Entire home/apt,4,1,1,2,Real Bed,249,2,0,3,within a few hours,1,4,100,10,10,10,10,10,10
827351,Simon & Jolanda,2011,7/16,1591193,Centrum-Oost,Amsterdam,North Holland,1017 JG,Netherlands,52.36159863,4.899324721,Apartment,Entire home/apt,3,1,1,1,Real Bed,169,2,30,3,within a few hours,1,4,93,9,9,10,10,10,9
827351,Simon & Jolanda,2011,7/16,173347,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36359142,4.904488739,Boat,Entire home/apt,2,1,1,2,Real Bed,159,1,0,3,within a few hours,1,31,100,10,10,10,10,10,10
827351,Simon & Jolanda,2011,7/16,5166331,Centrum-West,Amsterdam,Noord-Holland,1015DS,Netherlands,52.37741156,4.885183331,Boat,Entire home/apt,2,1,0,1,Real Bed,149,1,0,3,within a few hours,1,0,,,,,,,
829303,Jean,2011,7/17,4099563,Centrum-West,Amsterdam,North Holland,1015 NX,Netherlands,52.3772687,4.884140838,Apartment,Entire home/apt,2,1,2,2,Real Bed,140,1,0,2,within a day,0.91,14,97,10,10,10,10,10,9
829303,Jean,2011,7/17,4099716,Centrum-West,Amsterdam,North Holland,1015 NX,Netherlands,52.3784973,4.88367047,Bed & Breakfast,Private room,2,1,1,1,Real Bed,100,1,0,1,within a day,0.91,3,100,10,10,10,10,10,9
829781,Maartje,2011,7/17,1378894,Bos en Lommer,Amsterdam,North Holland,1056,Netherlands,52.37746281,4.861730024,Apartment,Entire home/apt,2,1,1,1,Real Bed,85,2,20,3,within a day,1,10,98,10,10,10,10,9,10
834139,Daniel,2011,7/18,5044379,Oostelijk Havengebied - Indische Buurt,Amsterdam,Noord-Holland,1019,Netherlands,52.37270876,4.945910046,House,Entire home/apt,4,2,3,3,Real Bed,70,2,20,2,within a day,0.8,1,100,10,10,10,10,10,10
834139,Daniel,2011,7/18,174592,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36200604,4.910138341,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,2,20,2,within a day,0.8,116,89,9,8,9,9,9,9
837545,Judith,2011,7/19,4992907,Centrum-West,Amsterdam,Noord-Holland,1013 JE,Netherlands,52.38201923,4.887466577,House,Entire home/apt,3,2,2,2,Real Bed,120,1,0,3,within a day,0.5,1,100,10,10,10,10,10,10
838782,Renée,2011,7/19,1459012,Oud-Oost,Amsterdam,North Holland,1094 EG,Netherlands,52.36168185,4.93164395,Apartment,Entire home/apt,4,1,2,2,Real Bed,89,2,25,4,within a day,0.7,15,89,9,9,10,10,9,9
838836,Mischa,2011,7/19,175488,Centrum-West,Amsterdam,North Holland,1011,Netherlands,52.37826319,4.904362841,Apartment,Entire home/apt,2,1,1,1,Real Bed,115,2,0,3,within a day,0.8,94,93,9,9,10,10,10,9
843094,Maartje,2011,7/20,1369677,Bos en Lommer,Amsterdam,North Holland,1056 HL,Netherlands,52.37530134,4.859799814,Apartment,Entire home/apt,2,1,1,1,Real Bed,99,2,15,3,within an hour,1,7,97,10,10,10,10,8,9
843138,Sandra,2011,7/20,3573844,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1058,Netherlands,52.36157576,4.855764501,Apartment,Entire home/apt,4,1,2,2,Real Bed,129,1,0,2,within an hour,1,10,96,10,9,10,10,9,9
